股票代码,股票简称,现价(元),涨跌幅(%),加权净资产收益率(%)：2019.12.31,加权净资产收益率(%)：2018.12.31,加权净资产收益率(%)：2017.12.31,加权净资产收益率(%)：2016.12.31,加权净资产收益率(%)：2015.12.31,净利润现金含量占比(%)：2019.12.31,净利润现金含量占比(%)：2018.12.31,净利润现金含量占比(%)：2017.12.31,净利润现金含量占比(%)：2016.12.31,净利润现金含量占比(%)：2015.12.31,销售毛利率(%)：2019.12.31,销售毛利率(%)：2018.12.31,销售毛利率(%)：2017.12.31,销售毛利率(%)：2016.12.31,销售毛利率(%)：2015.12.31,上市天数(天)2020.07.06,市盈率(TTM)：2019.12.31,市盈率(TTM)：2018.12.28,市盈率(TTM)：2017.12.29,市盈率(TTM)：2016.12.30,市盈率(TTM)：2015.12.31,股息率(近12个月)(%)：2019.12.31,股息率(近12个月)(%)：2018.12.28,股息率(近12个月)(%)：2017.12.29,股息率(近12个月)(%)：2016.12.30,股息率(近12个月)(%)：2015.12.31
600887,伊利股份,33.60,3,-0.59,5,26.38,7,24.33,9,25.22,11,26.58,13,23.87,15,121.95,17,133.93,19,116.75,21,226.38,23,205.89,25,37.35,27,37.82,29,37.29,31,37.94,33,35.89,35,8,883,37,27.20,39,22.76,41,31.51,43,19.82,45,21.51,47,2.26,49,3.06,51,1.86,53,2.56,55,2.43,57,,59
002508,老板电器,36.42,3,1.62,5,25.10,7,26.40,9,31.66,11,33.38,13,29.10,15,97.82,17,102.40,19,87.08,21,128.06,23,135.30,25,54.27,27,53.52,29,53.68,31,57.31,33,58.17,35,3,514,37,20.18,39,12.67,41,31.14,43,25.74,45,26.31,47,2.37,49,3.71,51,0.80,53,1.09,55,0.74,57,,59
603338,浙江鼎力,76.00,3,2.30,5,23.96,7,20.05,9,22.14,11,17.48,13,16.78,15,100.30,17,86.52,19,123.15,21,81.44,23,89.36,25,39.85,27,41.52,29,41.98,31,42.28,33,41.00,35,1,931,37,35.72,39,30.88,41,51.79,43,53.16,45,68.98,47,0.35,49,0.51,51,0.21,53,0.09,55,0.07,57,,59
002833,弘亚数控,28.39,3,7.13,5,23.83,7,25.42,9,28.67,11,42.52,13,30.03,15,115.70,17,110.97,19,96.35,21,102.69,23,126.33,25,36.12,27,37.56,29,38.18,31,40.13,33,37.58,35,1,287,37,17.68,39,15.92,41,36.71,43,16.73,45,--,47,0.75,49,1.59,51,0.25,53,--,55,--,57,,59
600167,联美控股,14.68,3,0.00,5,23.67,7,17.48,9,17.84,11,32.74,13,16.39,15,90.38,17,86.03,19,121.91,21,146.77,23,227.87,25,54.62,27,52.56,29,50.00,31,46.62,33,42.39,35,7,831,37,18.92,39,14.57,41,23.64,43,51.80,45,24.03,47,0.88,49,1.44,51,0.69,53,--,55,0.00,57,,59
603429,集友股份,44.68,3,10.00,5,23.50,7,20.04,9,21.41,11,29.94,13,29.97,15,107.76,17,100.11,19,100.38,21,138.34,23,106.75,25,43.76,27,47.26,29,55.55,31,51.74,33,52.52,35,1,260,37,46.58,39,41.93,41,63.13,43,--,45,--,47,0.41,49,0.62,51,0.00,53,--,55,--,57,,59
603180,金牌厨柜,50.75,3,-1.11,5,22.92,7,22.65,9,27.78,11,39.53,13,26.33,15,165.83,17,154.80,19,214.33,21,258.86,23,399.37,25,35.84,27,39.00,29,39.14,31,38.11,33,41.20,35,1,152,37,18.51,39,20.05,41,60.34,43,--,45,--,47,1.48,49,1.38,51,--,53,--,55,--,57,,59
300015,爱尔眼科,44.38,3,2.02,5,22.51,7,18.55,9,21.74,11,21.84,13,19.66,15,150.73,17,138.75,19,179.18,21,139.13,23,121.99,25,49.30,27,47.00,29,46.28,31,46.11,33,46.59,35,3,903,37,88.87,39,62.39,41,64.93,43,55.97,45,72.71,47,0.39,49,0.76,51,0.37,53,0.98,55,0.32,57,,59
603816,顾家家居,55.30,3,7.28,5,21.98,7,22.96,9,22.26,11,37.25,13,49.88,15,182.93,17,102.04,19,139.28,21,169.48,23,152.94,25,34.86,27,36.37,29,37.26,31,40.44,33,41.13,35,1,362,37,23.70,39,19.60,41,32.56,43,34.05,45,--,47,1.56,49,2.12,51,1.14,53,--,55,--,57,,59
603369,今世缘,43.10,3,4.36,5,21.93,7,20.36,9,18.11,11,17.60,13,18.16,15,89.66,17,97.42,19,111.77,21,125.26,23,102.48,25,72.79,27,72.87,29,71.71,31,70.96,33,70.01,35,2,196,37,28.15,39,15.86,41,22.02,43,21.79,45,24.55,47,1.01,49,1.73,51,1.23,53,1.25,55,1.16,57,,59
